dt,c_kwH
09/01/2024 23:00,10.92
10/01/2024 0:00,10.56
10/01/2024 1:00,9.66
10/01/2024 2:00,8.92
10/01/2024 3:00,8.68
10/01/2024 4:00,8.67
10/01/2024 5:00,8.58
10/01/2024 6:00,8.78
10/01/2024 7:00,9.15
10/01/2024 8:00,11.06
10/01/2024 9:00,12.88
10/01/2024 10:00,14.16
10/01/2024 11:00,13.04
10/01/2024 12:00,11.92
10/01/2024 13:00,10.91
10/01/2024 14:00,10.17
10/01/2024 15:00,10.82
10/01/2024 16:00,11.56
10/01/2024 17:00,12.58
10/01/2024 18:00,13.62
10/01/2024 19:00,14.38
10/01/2024 20:00,14
10/01/2024 21:00,13.22
10/01/2024 22:00,12
10/01/2024 23:00,10.94
11/01/2024 0:00,10.49
11/01/2024 1:00,9.58
11/01/2024 2:00,9.18
11/01/2024 3:00,8.86
11/01/2024 4:00,8.73
11/01/2024 5:00,8.24
11/01/2024 6:00,8.21
11/01/2024 7:00,9.04
11/01/2024 8:00,11.16
11/01/2024 9:00,12.2
11/01/2024 10:00,14.1
11/01/2024 11:00,12.92
11/01/2024 12:00,11.37
11/01/2024 13:00,10.65
11/01/2024 14:00,9.94
11/01/2024 15:00,9.9
11/01/2024 16:00,10.6
11/01/2024 17:00,11.91
11/01/2024 18:00,14.71
11/01/2024 19:00,15.81
11/01/2024 20:00,14.2
11/01/2024 21:00,13.23
11/01/2024 22:00,12.2
11/01/2024 23:00,10.72
12/01/2024 0:00,10
12/01/2024 1:00,9.64
12/01/2024 2:00,9.06
12/01/2024 3:00,8.79
12/01/2024 4:00,8.57
12/01/2024 5:00,8.54
12/01/2024 6:00,8.78
12/01/2024 7:00,9.48
12/01/2024 8:00,11.85
12/01/2024 9:00,12.2
12/01/2024 10:00,14.07
12/01/2024 11:00,13.5
12/01/2024 12:00,12.2
12/01/2024 13:00,11.47
12/01/2024 14:00,10.7
12/01/2024 15:00,10.31
12/01/2024 16:00,10.45
12/01/2024 17:00,11
12/01/2024 18:00,12
12/01/2024 19:00,12.75
12/01/2024 20:00,12.6
12/01/2024 21:00,11.95
12/01/2024 22:00,11
12/01/2024 23:00,10.52
13/01/2024 0:00,10.17
13/01/2024 1:00,9
13/01/2024 2:00,9
13/01/2024 3:00,8.46
13/01/2024 4:00,8.2
13/01/2024 5:00,7.85
13/01/2024 6:00,7.5
13/01/2024 7:00,8.39
13/01/2024 8:00,9.55
13/01/2024 9:00,8.54
13/01/2024 10:00,9.25
13/01/2024 11:00,8.83
13/01/2024 12:00,8.45
13/01/2024 13:00,7.61
13/01/2024 14:00,7.12
13/01/2024 15:00,7.15
13/01/2024 16:00,9.22
13/01/2024 17:00,12.2
13/01/2024 18:00,12.2
13/01/2024 19:00,13
13/01/2024 20:00,13.5
13/01/2024 21:00,13.4
13/01/2024 22:00,12.2
13/01/2024 23:00,9.75
14/01/2024 0:00,7.03
14/01/2024 1:00,6.87
14/01/2024 2:00,6.82
14/01/2024 3:00,6.63
14/01/2024 4:00,6.58
14/01/2024 5:00,6.57
14/01/2024 6:00,6.61
14/01/2024 7:00,6.7
14/01/2024 8:00,6.79
14/01/2024 9:00,7.23
14/01/2024 10:00,7.7
14/01/2024 11:00,8.22
14/01/2024 12:00,8.25
14/01/2024 13:00,6.95
14/01/2024 14:00,7.39
14/01/2024 15:00,7.7
14/01/2024 16:00,7.92
14/01/2024 17:00,8.23
14/01/2024 18:00,8.66
14/01/2024 19:00,9.19
14/01/2024 20:00,9.76
14/01/2024 21:00,8.95
14/01/2024 22:00,8.2
14/01/2024 23:00,7.94
15/01/2024 0:00,7.62
15/01/2024 1:00,6.78
15/01/2024 2:00,7.05
15/01/2024 3:00,6.68
15/01/2024 4:00,6.46
15/01/2024 5:00,6.2
15/01/2024 6:00,6.27
15/01/2024 7:00,8.49
15/01/2024 8:00,12.2
15/01/2024 9:00,11.41
15/01/2024 10:00,12.2
15/01/2024 11:00,10.49
15/01/2024 12:00,9.99
15/01/2024 13:00,9.03
15/01/2024 14:00,8.89
15/01/2024 15:00,9.08
15/01/2024 16:00,9.97
15/01/2024 17:00,9.81
15/01/2024 18:00,10.53
15/01/2024 19:00,11.4
15/01/2024 20:00,11.46
15/01/2024 21:00,11.38
15/01/2024 22:00,10.37
15/01/2024 23:00,9.39
16/01/2024 0:00,9.14
16/01/2024 1:00,8.77
16/01/2024 2:00,8.27
16/01/2024 3:00,8.16
16/01/2024 4:00,8.02
16/01/2024 5:00,7.83
16/01/2024 6:00,7.75
16/01/2024 7:00,9
16/01/2024 8:00,10.79
16/01/2024 9:00,12.52
16/01/2024 10:00,14.41
16/01/2024 11:00,13.86
16/01/2024 12:00,12.2
16/01/2024 13:00,11
16/01/2024 14:00,10.32
16/01/2024 15:00,11.06
16/01/2024 16:00,11.91
16/01/2024 17:00,13.18
16/01/2024 18:00,14.13
16/01/2024 19:00,14.39
16/01/2024 20:00,13.56
16/01/2024 21:00,12.9
16/01/2024 22:00,12.2
16/01/2024 23:00,10.72
17/01/2024 0:00,10.31
17/01/2024 1:00,9.8
17/01/2024 2:00,10.75
17/01/2024 3:00,10.65
17/01/2024 4:00,10.48
17/01/2024 5:00,10.31
17/01/2024 6:00,10.6
17/01/2024 7:00,13.94
17/01/2024 8:00,18.3
17/01/2024 9:00,19.1
17/01/2024 10:00,15.18
17/01/2024 11:00,11.55
17/01/2024 12:00,11.03
17/01/2024 13:00,11.11
17/01/2024 14:00,11.46
17/01/2024 15:00,11.72
17/01/2024 16:00,11.74
17/01/2024 17:00,11.9
17/01/2024 18:00,12.2
17/01/2024 19:00,13.23
17/01/2024 20:00,12.2
17/01/2024 21:00,11.44
