,Value
R-squared,0.7604978995546137
Adjusted R-squared,0.7557735485219693
F-statistic,160.97404581067966
Prob (F-statistic),0.0
AIC,330231.55373223056
BIC,331770.2850131115
Log-Likelihood,-164904.77686611528
No. Observations,10857.0
